filename,width,height,class,xmin,ymin,xmax,ymax
IMG_0016.JPEG,1536,2048,box,133,925,405,1259
IMG_0016.JPEG,1536,2048,box,405,908,644,1230
IMG_0016.JPEG,1536,2048,box,633,874,848,1198
IMG_0016.JPEG,1536,2048,box,846,842,1022,1166
IMG_0016.JPEG,1536,2048,box,1025,832,1203,1144
IMG_0016.JPEG,1536,2048,box,1197,804,1361,1130
IMG_0016.JPEG,1536,2048,box,1365,830,1497,1089
IMG_0016.JPEG,1536,2048,box,933,1255,1080,1502
IMG_0016.JPEG,1536,2048,box,1080,1227,1227,1468
IMG_0016.JPEG,1536,2048,box,1227,1189,1361,1430
IMG_0016.JPEG,1536,2048,box,1405,332,1536,672
IMG_0015.JPEG,1536,2048,box,150,919,388,1232
IMG_0015.JPEG,1536,2048,box,363,883,542,1161
IMG_0015.JPEG,1536,2048,box,529,870,667,1132
IMG_0015.JPEG,1536,2048,box,663,851,780,1093
IMG_0015.JPEG,1536,2048,box,774,859,869,1044
IMG_0015.JPEG,1536,2048,box,859,815,948,1015
IMG_0015.JPEG,1536,2048,box,931,785,1010,993
IMG_0015.JPEG,1536,2048,box,1008,764,1069,968
IMG_0015.JPEG,1536,2048,box,150,1364,344,1678
IMG_0015.JPEG,1536,2048,box,316,1296,471,1606
IMG_0015.JPEG,1536,2048,box,461,1281,603,1527
IMG_0015.JPEG,1536,2048,box,586,1219,708,1438
IMG_0015.JPEG,1536,2048,box,686,1168,795,1383
IMG_0015.JPEG,1536,2048,box,854,1072,954,1287
IMG_0015.JPEG,1536,2048,box,846,1366,929,1555
IMG_0015.JPEG,1536,2048,box,1020,1013,1099,1208
IMG_0015.JPEG,1536,2048,box,763,415,861,704
IMG_0015.JPEG,1536,2048,box,850,427,935,698
IMG_0015.JPEG,1536,2048,box,942,466,1018,696
IMG_0015.JPEG,1536,2048,box,1010,487,1084,687
IMG_0014.JPEG,1536,2048,box,1084,106,1193,400
IMG_0014.JPEG,1536,2048,box,12,1044,308,1398
IMG_0014.JPEG,1536,2048,box,295,1019,518,1344
IMG_0014.JPEG,1536,2048,box,514,968,708,1270
IMG_0014.JPEG,1536,2048,box,688,934,861,1247
IMG_0014.JPEG,1536,2048,box,842,927,967,1191
IMG_0014.JPEG,1536,2048,box,476,1391,637,1723
IMG_0014.JPEG,1536,2048,box,61,1621,297,1919
IMG_0014.JPEG,1536,2048,box,288,1589,484,1819
IMG_0014.JPEG,1536,2048,box,771,1332,886,1559
IMG_0014.JPEG,1536,2048,box,882,1276,995,1519
IMG_0014.JPEG,1536,2048,box,982,1238,1086,1453
IMG_0014.JPEG,1536,2048,box,1146,1142,1235,1376
IMG_0014.JPEG,1536,2048,box,967,904,1074,1157
IMG_0014.JPEG,1536,2048,box,1071,923,1159,1125
IMG_0014.JPEG,1536,2048,box,1152,868,1242,1098
IMG_0014.JPEG,1536,2048,box,1231,834,1303,1068
IMG_0014.JPEG,1536,2048,box,1308,821,1363,1053
IMG_0014.JPEG,1536,2048,box,1363,815,1414,1030
IMG_0014.JPEG,1536,2048,box,1414,806,1480,1013
IMG_0014.JPEG,1536,2048,box,1129,1436,1216,1647
IMG_0013.JPEG,1536,2048,box,239,857,482,1187
IMG_0013.JPEG,1536,2048,box,484,844,688,1130
IMG_0013.JPEG,1536,2048,box,680,791,844,1089
IMG_0013.JPEG,1536,2048,box,848,778,980,1055
IMG_0013.JPEG,1536,2048,box,984,761,1110,1027
IMG_0013.JPEG,1536,2048,box,291,1400,484,1666
IMG_0013.JPEG,1536,2048,box,471,1385,652,1591
IMG_0013.JPEG,1536,2048,box,644,1253,788,1508
IMG_0013.JPEG,1536,2048,box,791,1200,914,1442
IMG_0013.JPEG,1536,2048,box,910,1159,1016,1387
IMG_0013.JPEG,1536,2048,box,1222,306,1310,596
IMG_0013.JPEG,1536,2048,box,1327,313,1399,608
IMG_0013.JPEG,1536,2048,box,1412,364,1478,596
IMG_0013.JPEG,1536,2048,box,346,1776,537,2036
IMG_0013.JPEG,1536,2048,box,546,1668,712,1964
IMG_0013.JPEG,1536,2048,box,718,1593,850,1838
IMG_0013.JPEG,1536,2048,box,861,1525,980,1727
IMG_0013.JPEG,1536,2048,box,976,1461,1082,1659
IMG_0013.JPEG,1536,2048,box,1088,1387,1167,1572
IMG_0013.JPEG,1536,2048,box,1018,1121,1114,1347
IMG_0013.JPEG,1536,2048,box,1112,1081,1199,1287
IMG_0013.JPEG,1536,2048,box,1269,989,1354,1208
IMG_0013.JPEG,1536,2048,box,1359,989,1435,1174
IMG_0010.JPEG,1536,2048,box,278,751,526,1031
IMG_0010.JPEG,1536,2048,box,528,720,749,1023
IMG_0010.JPEG,1536,2048,box,758,725,970,1017
IMG_0010.JPEG,1536,2048,box,979,718,1197,1012
IMG_0010.JPEG,1536,2048,box,1205,709,1424,1020
IMG_0010.JPEG,1536,2048,box,113,1233,302,1433
